epoch_ms,api_current,api_voltage_mV,api_temp_C,api_status,api_pct,sys_current_now,sys_voltage_now
1786755521781,-2136875,3966,35.5,DISCHARGING,59,,
1786755524301,-2087187,3966,35.5,DISCHARGING,59,,
1786755526382,-1446562,3966,35.5,DISCHARGING,59,,
1786755528520,-718125,3966,35.5,DISCHARGING,59,,
1786755530681,-1107187,3966,35.5,DISCHARGING,59,,
1786755532850,-1314375,3966,35.5,DISCHARGING,59,,
1786755534980,-1101250,3966,35.5,DISCHARGING,59,,
1786755537145,-1100000,3966,35.5,DISCHARGING,59,,
1786755539309,-1249062,3966,35.5,DISCHARGING,59,,
1786755541434,-1400937,3966,35.5,DISCHARGING,59,,
1786755543584,-1366562,3966,35.5,DISCHARGING,59,,
1786755545746,-1245937,3966,35.5,DISCHARGING,59,,
1786755547904,-1240937,3966,35.5,DISCHARGING,59,,
1786755550069,-1240625,3966,35.5,DISCHARGING,59,,
1786755552223,-1233437,3966,35.5,DISCHARGING,59,,
1786755554381,-1154375,3966,35.5,DISCHARGING,59,,
1786755556526,-970625,3966,35.5,DISCHARGING,59,,
1786755558688,-1285937,3966,35.5,DISCHARGING,59,,
1786755560859,-928437,3966,35.5,DISCHARGING,59,,
1786755563032,-1236562,3966,35.5,DISCHARGING,59,,
1786755565221,-1325312,3966,35.5,DISCHARGING,59,,
1786755567353,-1274062,3966,35.5,DISCHARGING,59,,
1786755569516,-1096250,3966,35.5,DISCHARGING,59,,
1786755571669,-1302187,3966,35.5,DISCHARGING,59,,
1786755573799,-1436875,3966,35.5,DISCHARGING,59,,
1786755575959,-1290625,3966,35.5,DISCHARGING,59,,
1786755578123,-1091875,3966,35.5,DISCHARGING,59,,
1786755580250,-1272812,3966,35.5,DISCHARGING,59,,
1786755582416,-1211562,3966,35.5,DISCHARGING,59,,
1786755584596,-1095000,3966,35.5,DISCHARGING,59,,
1786755586755,-1289375,3966,35.5,DISCHARGING,59,,
1786755588914,-1298750,3966,35.5,DISCHARGING,59,,
1786755591077,-1244687,3966,35.5,DISCHARGING,59,,
1786755593231,-1617187,3966,35.5,DISCHARGING,59,,
1786755595401,-1187812,3966,35.5,DISCHARGING,59,,
1786755597588,-1311875,3966,35.5,DISCHARGING,59,,
1786755599737,-1085937,3966,35.5,DISCHARGING,59,,
1786755601857,-1543750,3966,35.5,DISCHARGING,59,,
1786755604009,-1440937,3966,35.5,DISCHARGING,59,,
1786755606179,-826250,3966,35.5,DISCHARGING,59,,
1786755608355,-1191562,3966,35.5,DISCHARGING,59,,
1786755610532,-1314375,3966,35.5,DISCHARGING,59,,
1786755612684,-1176562,3966,35.5,DISCHARGING,59,,
1786755614848,-1075625,3966,35.5,DISCHARGING,59,,
1786755617002,-1365000,3966,35.5,DISCHARGING,59,,
1786755619177,-918750,3966,35.5,DISCHARGING,59,,
1786755621323,-1477500,3966,35.5,DISCHARGING,59,,
1786755623633,-1145625,3966,35.5,DISCHARGING,59,,
1786755625788,-1288125,3966,35.5,DISCHARGING,59,,
1786755627944,-965312,3966,35.5,DISCHARGING,59,,
1786755630097,-948750,3966,35.5,DISCHARGING,59,,
1786755632239,-1065312,3966,35.5,DISCHARGING,59,,
1786755634379,-1204375,3966,35.5,DISCHARGING,59,,
1786755636559,-1286562,3966,35.5,DISCHARGING,59,,
1786755638710,-1298750,3966,35.5,DISCHARGING,59,,
1786755640886,-1312500,3931,33.9,DISCHARGING,58,,
1786755643051,-1356250,3931,33.9,DISCHARGING,58,,
1786755645164,-1937187,3931,33.9,DISCHARGING,58,,
1786755647586,-2307500,3931,33.9,DISCHARGING,58,,
1786755650666,-1791875,3931,33.9,DISCHARGING,58,,
1786755653168,-2024687,3931,33.9,DISCHARGING,58,,
1786755655871,-2242500,3931,33.9,DISCHARGING,58,,
1786755658288,-2298437,3931,33.9,DISCHARGING,58,,
1786755660534,-2610000,3931,33.9,DISCHARGING,58,,
1786755662886,-2585000,3931,33.9,DISCHARGING,58,,
1786755665211,-1998125,3857,34.0,DISCHARGING,58,,
1786755667547,-1952812,3857,34.0,DISCHARGING,58,,
1786755669908,-1991250,3857,34.0,DISCHARGING,58,,
1786755672289,-2329687,3857,34.0,DISCHARGING,58,,
1786755674648,-1631562,3857,34.0,DISCHARGING,58,,
1786755677035,-1757187,3857,34.0,DISCHARGING,58,,
1786755679414,-2160937,3857,34.0,DISCHARGING,58,,
1786755681793,-1885937,3857,34.0,DISCHARGING,58,,
1786755684174,-1660937,3857,34.0,DISCHARGING,58,,
1786755686576,-1714375,3857,34.0,DISCHARGING,58,,
1786755688960,-1230312,3857,34.0,DISCHARGING,58,,
1786755691375,-1616250,3857,34.0,DISCHARGING,58,,
1786755693724,-832500,3857,34.0,DISCHARGING,58,,
1786755695957,-666250,3929,33.9,DISCHARGING,58,,
1786755698248,-696562,3929,33.9,DISCHARGING,58,,
1786755700593,-666562,3929,33.9,DISCHARGING,58,,
1786755702927,-636875,3929,33.9,DISCHARGING,58,,
1786755705191,-605312,3929,33.9,DISCHARGING,58,,
1786755707487,-654687,3929,33.9,DISCHARGING,58,,
1786755709734,-686250,3929,33.9,DISCHARGING,58,,
1786755711985,-663125,3929,33.9,DISCHARGING,58,,
1786755714237,-818750,3929,33.9,DISCHARGING,58,,
1786755716395,-734375,3929,33.9,DISCHARGING,58,,
1786755718634,-515625,3929,33.9,DISCHARGING,58,,
1786755720873,-1286562,3929,33.9,DISCHARGING,58,,
1786755723074,-885625,3929,33.9,DISCHARGING,58,,
1786755725298,-799687,3929,33.9,DISCHARGING,58,,
1786755727477,-775625,3929,33.9,DISCHARGING,58,,
1786755729690,-986562,3929,33.9,DISCHARGING,58,,
1786755731891,-902812,3929,33.9,DISCHARGING,58,,
1786755734046,-1018750,3929,33.9,DISCHARGING,58,,
1786755736228,-1284062,3929,33.9,DISCHARGING,58,,
1786755738364,-1025625,3929,33.9,DISCHARGING,58,,
1786755740485,-1004375,3929,33.9,DISCHARGING,58,,
1786755742652,-1351250,3929,33.9,DISCHARGING,58,,
1786755744821,-1257187,3929,33.9,DISCHARGING,58,,
1786755746992,-1189062,3929,33.9,DISCHARGING,58,,
1786755749128,-1189375,3929,33.9,DISCHARGING,58,,
1786755751271,-1385625,3929,33.9,DISCHARGING,58,,
1786755753423,-1247812,3929,33.9,DISCHARGING,58,,
1786755755570,-1230000,3929,33.9,DISCHARGING,58,,
1786755757708,-1327500,3929,33.9,DISCHARGING,58,,
1786755759865,-1058750,3929,33.9,DISCHARGING,58,,
1786755762030,-1322187,3929,33.9,DISCHARGING,58,,
1786755764171,-1311562,3929,33.9,DISCHARGING,58,,
1786755766330,-1166562,3929,33.9,DISCHARGING,58,,
1786755768497,-1424375,3929,33.9,DISCHARGING,58,,
1786755770591,-1338750,3929,33.9,DISCHARGING,58,,
1786755772648,-1325625,3929,33.9,DISCHARGING,58,,
1786755774780,-1254062,3929,33.9,DISCHARGING,58,,
1786755776950,-1220312,3929,33.9,DISCHARGING,58,,
1786755779046,-1453437,3929,33.9,DISCHARGING,58,,
1786755781218,-1350625,3929,33.9,DISCHARGING,58,,
1786755783351,-1410000,3929,33.9,DISCHARGING,58,,
1786755785423,-2039062,3929,33.9,DISCHARGING,58,,
1786755787747,-3520937,3929,33.9,DISCHARGING,58,,
1786755790069,-1954375,3929,33.9,DISCHARGING,58,,
1786755792551,-1960625,3878,33.9,DISCHARGING,58,,
1786755794860,-1298750,3878,33.9,DISCHARGING,58,,
1786755797403,-1546562,3878,33.9,DISCHARGING,58,,
1786755799776,-1561875,3878,33.9,DISCHARGING,58,,
1786755802142,-1537812,3878,33.9,DISCHARGING,58,,
1786755804526,-1748125,3878,33.9,DISCHARGING,58,,
1786755807057,-1748750,3878,33.9,DISCHARGING,58,,
1786755809438,-1862500,3878,33.9,DISCHARGING,58,,
1786755811812,-1782187,3878,33.9,DISCHARGING,58,,
1786755814171,-1664375,3878,33.9,DISCHARGING,58,,
1786755816508,-1710312,3878,33.9,DISCHARGING,58,,
1786755819032,-1589375,3840,34.1,DISCHARGING,57,,
1786755821538,-1524687,3840,34.1,DISCHARGING,57,,
1786755824007,-1867812,3840,34.1,DISCHARGING,57,,
1786755826550,-1774687,3840,34.1,DISCHARGING,57,,
1786755829012,-1762187,3840,34.1,DISCHARGING,57,,
